Gene Name	 Locus Tag (prokka_output)	Locus Tag (K12 reference)	Start of Gene	End of Gene	Strand	UniProt ID	Protein Product
thrA	FJKNNBLA_00001	b0002	336	2798	1	P00561	fused aspartate kinase/homoserine dehydrogenase 1
thrB	FJKNNBLA_00002	b0003	2800	3732	1	P00547	homoserine kinase
thrC	FJKNNBLA_00003	b0004	3733	5019	1	P00934	threonine synthase
yaaX	FJKNNBLA_00004	b0005	5232	5528	1	P75616	DUF2502 domain-containing protein YaaX
yaaA	FJKNNBLA_00005	b0006	6457	5681	-1	P0A8I3	peroxide stress resistance protein YaaA
yaaJ	FJKNNBLA_00006	b0007	7957	6527	-1	P30143	putative transporter YaaJ
talB	FJKNNBLA_00007	b0008	8236	9189	1	P0A870	transaldolase B
mog	FJKNNBLA_00008	b0009	9304	9891	1	P0AF03	molybdopterin adenylyltransferase
satP	FJKNNBLA_00009	b0010	10492	9926	-1	P0AC98	acetate/succinate:H(+)symporter
yaaW	FJKNNBLA_00010	b0011	11354	10641	-1	P75617	putative enzyme-specific chaperone YaaW
yaaI	FJKNNBLA_00011	b0013	11784	11380	-1	P28696	DUF2541 domain-containing protein YaaI
dnaK	FJKNNBLA_00012	b0014	12161	14077	1	P0A6Y8	chaperone protein DnaK
dnaJ	FJKNNBLA_00013	b0015	14166	15296	1	P08622	chaperone protein DnaJ
hokC	FJKNNBLA_00016	b4412	16901	16749	-1	P0ACG4	protein HokC
nhaA	FJKNNBLA_00017	b0019	17488	18654	1	P13738	Na(+):H(+) antiporter NhaA
nhaR	FJKNNBLA_00018	b0020	18720	19619	1	P0A9G2	DNA-binding transcriptional activator NhaR
FJKNNBLA_00019	FJKNNBLA_00019	N/A	20617	19658	-1	N/A	['hypothetical protein']
rpsT	FJKNNBLA_00025	b0023	25150	24887	-1	P0A7U7	30S ribosomal subunit protein S20
ribF	FJKNNBLA_00026	b0025	25479	26420	1	P0AG40	bifunctional riboflavin kinase/FMN adenylyltransferase
ileS	FJKNNBLA_00027	b0026	26463	29279	1	P00956	isoleucine--tRNA ligase
lspA	FJKNNBLA_00028	b0027	29279	29773	1	P00804	lipoprotein signal peptidase
fkpB	FJKNNBLA_00029	b0028	29898	30347	1	P0AEM0	peptidyl-prolyl cis-trans isomerase FkpB
ispH	FJKNNBLA_00030	b0029	30349	31299	1	P62623	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
rihC	FJKNNBLA_00031	b0030	31365	32279	1	P22564	ribonucleoside hydrolase RihC
dapB	FJKNNBLA_00032	b0031	32446	33267	1	P04036	4-hydroxy-tetrahydrodipicolinate reductase
carA	FJKNNBLA_00033	b0032	33722	34870	1	P0A6F1	carbamoyl phosphate synthetase subunit alpha
carB	FJKNNBLA_00034	b0033	34888	38109	1	P00968	carbamoyl phosphate synthetase subunit beta
caiF	FJKNNBLA_00035	b0034	38371	38766	1	P0AE58	DNA-binding transcriptional activator CaiF
caiE	FJKNNBLA_00036	b0035	39565	38975	-1	P39206	putative transferase CaiE
caiD	FJKNNBLA_00037	b0036	40356	39571	-1	P31551	crotonobetainyl-CoA hydratase
caiC	FJKNNBLA_00038	b0037	42018	40465	-1	P31552	carnitine--CoA ligase
caiA	FJKNNBLA_00041	b0039	44579	43437	-1	P60584	crotonobetainyl-CoA reductase
caiT	FJKNNBLA_00042	b0040	46124	44610	-1	P31553	L-carnitine:gamma-butyrobetaine antiporter
fixA	FJKNNBLA_00043	b0041	46598	47368	1	P60566	putative electron transfer flavoprotein FixA
fixB	FJKNNBLA_00044	b0042	47383	48324	1	P31574	putative electron transfer flavoprotein FixB
fixC	FJKNNBLA_00045	b0043	48375	49661	1	P68644	putative oxidoreductase FixC
fixX	FJKNNBLA_00046	b0044	49658	49945	1	P68646	putative ferredoxin FixX
yaaU	FJKNNBLA_00047	b0045	50002	51333	1	P31679	putative transporter YaaU
kefF	FJKNNBLA_00048	b0046	51441	51971	1	P0A754	regulator of KefC-mediated potassium transport and quinone oxidoreductase
kefC	FJKNNBLA_00049	b0047	51964	53826	1	P03819	K(+) : H(+)antiporter KefC
folA	FJKNNBLA_00050	b0048	53907	54497	1	P0ABQ4	dihydrofolate reductase
apaH	FJKNNBLA_00051	b0049	55417	54575	-1	P05637	diadenosine tetraphosphatase
apaG	FJKNNBLA_00052	b0050	55801	55424	-1	P62672	DUF525 domain-containing protein ApaG
rsmA	FJKNNBLA_00053	b0051	56625	55804	-1	P06992	16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase
pdxA	FJKNNBLA_00054	b0052	57611	56622	-1	P19624	4-hydroxythreonine-4-phosphate dehydrogenase
surA	FJKNNBLA_00055	b0053	58897	57611	-1	P0ABZ6	chaperone SurA
lptD	FJKNNBLA_00056	b0054	61304	58950	-1	P31554	lipopolysaccharide assembly protein LptD
djlA	FJKNNBLA_00057	b0055	61559	62374	1	P31680	co-chaperone protein DjlA
rluA	FJKNNBLA_00058	b0058	63150	62491	-1	P0AA37	23S rRNA pseudouridine(746)and tRNA pseudouridine(32) synthase
rapA	FJKNNBLA_00059	b0059	66068	63162	-1	P60240	RNA polymerase-binding ATPase and RNAP recycling factor
polB	FJKNNBLA_00060	b0060	68584	66233	-1	P21189	DNA polymerase II
araD	FJKNNBLA_00061	b0061	69354	68659	-1	P08203	L-ribulose-5-phosphate 4-epimerase AraD
araA	FJKNNBLA_00062	b0062	71141	69639	-1	P08202	L-arabinose isomerase
araB	FJKNNBLA_00063	b0063	72852	71152	-1	P08204	ribulokinase
araC	FJKNNBLA_00064	b0064	73191	74069	1	P0A9E0	DNA-binding transcriptional dual regulator AraC
yabI	FJKNNBLA_00065	b0065	74155	74919	1	P30149	DedA family protein YabI
thiQ	FJKNNBLA_00066	b0066	75731	75033	-1	P31548	thiamine ABC transporter ATP binding subunit
thiP	FJKNNBLA_00067	b0067	77325	75715	-1	P31549	thiamine ABC transporter membrane subunit
thiB	FJKNNBLA_00068	b0068	78284	77301	-1	P31550	thiamine ABC transporter periplasmic binding protein
sgrR	FJKNNBLA_00069	b0069	80103	78448	-1	P33595	DNA-binding transcriptional dual regulator SgrR
sgrT	FJKNNBLA_00070	b4662	80192	80323	1	C1P5Z7	PtsG glucose transporter inhibitor
setA	FJKNNBLA_00071	b0070	80425	81603	1	P31675	sugar exporter SetA
leuD	FJKNNBLA_00072	b0071	82257	81652	-1	P30126	3-isopropylmalate dehydratase subunit LeuD
leuC	FJKNNBLA_00073	b0072	83668	82268	-1	P0A6A6	3-isopropylmalate dehydratase subunit LeuC
leuB	FJKNNBLA_00074	b0073	84762	83671	-1	P30125	3-isopropylmalate dehydrogenase
leuA	FJKNNBLA_00075	b0074	86333	84762	-1	P09151	2-isopropylmalate synthase
leuO	FJKNNBLA_00076	b0076	87172	88116	1	P10151	DNA-binding transcriptional dual regulator LeuO
ilvI	FJKNNBLA_00077	b0077	88434	90158	1	P00893	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit
ilvH	FJKNNBLA_00078	b0078	90161	90652	1	P00894	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit
cra	FJKNNBLA_00079	b0080	90832	91836	1	P0ACP1	DNA-binding transcriptional dual regulator Cra
mraZ	FJKNNBLA_00080	b0081	92438	92896	1	P22186	DNA-binding transcriptional repressor MraZ
rsmH	FJKNNBLA_00081	b0082	92898	93839	1	P60390	16S rRNA m(4)C1402 methyltransferase
ftsL	FJKNNBLA_00082	b0083	93836	94201	1	P0AEN4	cell division protein FtsL
ftsI	FJKNNBLA_00083	b0084	94217	95983	1	P0AD68	peptidoglycan DD-transpeptidase FtsI
murE	FJKNNBLA_00084	b0085	95970	97457	1	P22188	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
murF	FJKNNBLA_00085	b0086	97454	98812	1	P11880	D-alanyl-D-alanine-adding enzyme
mraY	FJKNNBLA_00086	b0087	98806	99888	1	P0A6W3	phospho-N-acetylmuramoyl-pentapeptide- transferase
murD	FJKNNBLA_00087	b0088	99891	101207	1	P14900	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
ftsW	FJKNNBLA_00088	b0089	101207	102451	1	P0ABG4	essential cell division protein FtsW
murG	FJKNNBLA_00089	b0090	102448	103515	1	P17443	N-acetylglucosaminyl transferase
murC	FJKNNBLA_00090	b0091	103569	105044	1	P17952	UDP-N-acetylmuramate--L-alanine ligase
ddlB	FJKNNBLA_00091	b0092	105037	105957	1	P07862	D-alanine--D-alanine ligase B
ftsQ	FJKNNBLA_00092	b0093	105959	106789	1	P06136	cell division protein FtsQ
ftsA	FJKNNBLA_00093	b0094	106786	108048	1	P0ABH0	cell division protein FtsA
ftsZ	FJKNNBLA_00094	b0095	108109	109260	1	P0A9A6	cell division protein FtsZ
lpxC	FJKNNBLA_00095	b0096	109361	110278	1	P0A725	UDP-3-O-acyl-N-acetylglucosamine deacetylase
secM	FJKNNBLA_00096	b0097	110434	111021	1	P62395	SecA translation regulator
secA	FJKNNBLA_00097	b0098	111083	113788	1	P10408	protein translocation ATPase
mutT	FJKNNBLA_00098	b0099	113848	114237	1	P08337	8-oxo-dGTP diphosphatase
yacG	FJKNNBLA_00099	b0101	114650	114453	-1	P0A8H8	DNA gyrase inhibitor YacG
zapD	FJKNNBLA_00100	b0102	115403	114660	-1	P36680	cell division factor ZapD
coaE	FJKNNBLA_00101	b0103	116023	115403	-1	P0A6I9	dephospho-CoA kinase
guaC	FJKNNBLA_00102	b0104	116248	117291	1	P60560	GMP reductase
hofC	FJKNNBLA_00103	b0106	118528	117326	-1	P36646	inner membrane protein HofC
hofB	FJKNNBLA_00104	b0107	119903	118518	-1	P36645	T2SSE family protein
ppdD	FJKNNBLA_00105	b0108	120353	119913	-1	P36647	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
nadC	FJKNNBLA_00106	b0109	121449	120556	-1	P30011	quinolinate phosphoribosyltransferase (decarboxylating)
ampD	FJKNNBLA_00107	b0110	121537	122088	1	P13016	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase
ampE	FJKNNBLA_00108	b0111	122085	122939	1	P0AE14	protein AmpE
aroP	FJKNNBLA_00109	b0112	124352	122982	-1	P15993	aromatic amino acid:H(+) symporter AroP
pdhR	FJKNNBLA_00110	b0113	124896	125660	1	P0ACL9	DNA-binding transcriptional dual regulator PdhR
aceE	FJKNNBLA_00111	b0114	125821	128484	1	P0AFG8	pyruvate dehydrogenase E1 component
aceF	FJKNNBLA_00112	b0115	128499	130391	1	P06959	pyruvate dehydrogenase,E2 subunit
lpdA	FJKNNBLA_00113	b0116	130716	132140	1	P0A9P0	lipoamide dehydrogenase
yacH	FJKNNBLA_00114	b0117	134064	132211	-1	P36682	DUF3300 domain-containing protein YacH
acnB	FJKNNBLA_00115	b0118	134419	137016	1	P36683	hypothetical protein
yacL	FJKNNBLA_00116	b0119	137191	137553	1	P0A8E5	UPF0231 family protein YacL
speD	FJKNNBLA_00117	b0120	138385	137591	-1	P0A7F6	S-adenosylmethionine decarboxylase proenzyme
speE	FJKNNBLA_00118	b0121	139267	138401	-1	P09158	spermidine synthase
yacC	FJKNNBLA_00119	b0122	139681	139373	-1	P0AA95	putative lipoprotein YacC
cueO	FJKNNBLA_00120	b0123	139886	141436	1	P36649	multicopper oxidase CueO
gcd	FJKNNBLA_00121	b0124	144028	141638	-1	P15877	quinoprotein glucose dehydrogenase
hpt	FJKNNBLA_00122	b0125	144234	144770	1	P0A9M2	hypoxanthine phosphoribosyltransferase
can	FJKNNBLA_00123	b0126	145473	144811	-1	P61517	carbonic anhydrase 2
yadG	FJKNNBLA_00124	b0127	145582	146508	1	P36879	putative ABC transporter ATP-binding protein YadG
yadH	FJKNNBLA_00125	b0128	146505	147275	1	P0AFN6	putative ABC transporter membrane subunit YadH
yadI	FJKNNBLA_00126	b0129	147380	147820	1	P36881	putative PTS enzyme IIA component YadI
yadE	FJKNNBLA_00127	b0130	147884	149113	1	P31666	putative polysaccharide deacetylase lipoprotein YadE
panD	FJKNNBLA_00128	b0131	149497	149117	-1	P0A790	aspartate 1-decarboxylase proenzyme
rpnC	FJKNNBLA_00129	b0132	149771	150673	1	P31665	recombination-promoting nuclease RpnC
panC	FJKNNBLA_00130	b0133	151598	150747	-1	P31663	pantothenate synthetase
panB	FJKNNBLA_00131	b0134	152404	151610	-1	P31057	3-methyl-2-oxobutanoate hydroxymethyltransferase
yadC	FJKNNBLA_00132	b0135	153791	152517	-1	P31058	fimbrial tip-adhesin YadC
yadK	FJKNNBLA_00133	b0136	154440	153844	-1	P37016	putative fimbrial protein YadK
yadL	FJKNNBLA_00134	b0137	155069	154467	-1	P37017	putative fimbrial protein YadL
yadM	FJKNNBLA_00135	b0138	155467	155084	-1	P37018	putative fimbrial protein YadM
htrE	FJKNNBLA_00136	b0139	158270	155670	-1	P33129	putative fimbrial usher protein HtrE
yadV	FJKNNBLA_00137	b0140	159045	158305	-1	P33128	putative fimbrial chaperone YadV
yadN	FJKNNBLA_00138	b0141	159734	159150	-1	P37050	putative fimbrial protein YadN
folK	FJKNNBLA_00139	b0142	160583	160104	-1	P26281	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
pcnB	FJKNNBLA_00140	b0143	161944	160580	-1	P0ABF1	poly(A) polymerase I
gluQ	FJKNNBLA_00141	b0144	162963	162037	-1	P27305	glutamyl-Q tRNA(Asp) synthetase
dksA	FJKNNBLA_00142	b0145	163455	163000	-1	P0ABS1	RNA polymerase-binding transcription factor DksA
sfsA	FJKNNBLA_00143	b0146	164337	163633	-1	P0A823	putative DNA-binding transcriptional regulator of maltose metabolism
thpR	FJKNNBLA_00144	b0147	164882	164352	-1	P37025	RNA 2',3'-cyclic phosphodiesterase
hrpB	FJKNNBLA_00145	b0148	164956	167385	1	P37024	RNA-dependent NTPase HrpB
mrcB	FJKNNBLA_00146	b0149	167581	170106	1	P02919	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
fhuA	FJKNNBLA_00147	b0150	170326	172569	1	P06971	ferrichrome outer membrane transporter/phage receptor
fhuC	FJKNNBLA_00148	b0151	172620	173417	1	P07821	iron(III) hydroxamate ABC transporter ATP binding subunit
fhuD	FJKNNBLA_00149	b0152	173417	174307	1	P07822	iron(III) hydroxamate ABC transporter periplasmic binding protein
fhuB	FJKNNBLA_00150	b0153	174304	176286	1	P06972	iron(III) hydroxamate ABC transporter membrane subunit
hemL	FJKNNBLA_00151	b0154	177724	176444	-1	P23893	glutamate-1-semialdehyde 2,1-aminomutase
clcA	FJKNNBLA_00152	b0155	177949	179370	1	P37019	chloride:H(+)antiporter ClcA
erpA	FJKNNBLA_00153	b0156	179452	179796	1	P0ACC3	iron-sulfur cluster insertion protein ErpA
yadS	FJKNNBLA_00154	b0157	180466	179843	-1	P0AFP0	PF03458 family protein YadS
btuF	FJKNNBLA_00155	b0158	181304	180504	-1	P37028	vitamin B12 ABC transporter periplasmic binding protein
mtnN	FJKNNBLA_00156	b0159	181995	181297	-1	P0AF12	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
dgt	FJKNNBLA_00157	b0160	182079	183596	1	P15723	dGTP triphosphohydrolase
degP	FJKNNBLA_00158	b0161	183726	185150	1	P0C0V0	periplasmic serine endoprotease DegP
cdaR	FJKNNBLA_00159	b0162	185305	186462	1	P37047	DNA-binding transcriptional activator CdaR
yaeH	FJKNNBLA_00160	b0163	186937	186551	-1	P62768	DUF3461 domain-containing protein YaeH
yaeI	FJKNNBLA_00161	b0164	187911	187099	-1	P37049	phosphodiesterase YaeI
dapD	FJKNNBLA_00162	b0166	188789	187965	-1	P0A9D8	tetrahydrodipicolinate succinylase
glnD	FJKNNBLA_00163	b0167	191492	188820	-1	P27249	PII uridylyltransferase/uridylyl removing enzyme
map	FJKNNBLA_00164	b0168	192348	191554	-1	P0AE18	methionine aminopeptidase
rpsB	FJKNNBLA_00165	b0169	192716	193441	1	P0A7V0	30S ribosomal subunit protein S2
tsf	FJKNNBLA_00166	b0170	193699	194550	1	P0A6P1	protein chain elongation factor EF-Ts
pyrH	FJKNNBLA_00167	b0171	194697	195422	1	P0A7E9	UMP kinase
frr	FJKNNBLA_00168	b0172	195714	196271	1	P0A805	ribosome-recycling factor
dxr	FJKNNBLA_00169	b0173	196363	197559	1	P45568	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ispU	FJKNNBLA_00170	b0174	197748	198506	1	P60472	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific
FJKNNBLA_00171	FJKNNBLA_00171	N/A	198506	198658	1	N/A	['hypothetical protein']
cdsA	FJKNNBLA_00172	b0175	198627	199376	1	P0ABG1	CDP-diglyceride synthetase
rseP	FJKNNBLA_00173	b0176	199388	200740	1	P0AEH1	intramembrane zinc metalloprotease RseP
bamA	FJKNNBLA_00174	b0177	200770	203202	1	P0A940	outer membrane protein assembly factor BamA
skp	FJKNNBLA_00175	b0178	203324	203809	1	P0AEU7	periplasmic chaperone Skp
lpxD	FJKNNBLA_00176	b0179	203813	204838	1	P21645	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
fabZ	FJKNNBLA_00177	b0180	204943	205398	1	P0A6Q6	3-hydroxy-acyl-[acyl-carrier-protein
lpxA	FJKNNBLA_00178	b0181	205402	206190	1	P0A722	acyl-[acyl-carrier-protein
lpxB	FJKNNBLA_00179	b0182	206190	207338	1	P10441	lipid A disaccharide synthase
rnhB	FJKNNBLA_00180	b0183	207335	207931	1	P10442	RNase HII
dnaE	FJKNNBLA_00181	b0184	207968	211450	1	P10443	DNA polymerase III subunit alpha
