Gene,Gene_name,TA_sites_interior,Gene_length,Mean_counts_5p_10pct,Mean_counts_3p_25pct,Mean_counts_interior,Insertion_index,Fraction_zeros,Fraction_above_thresh,Median_counts,Upper25,Lower25,Zeros_interval,TraDIS,Keio
0,thrA,57.0,2462,33.0,74.2,73.36842105263158,0.0458466669078495,0.1052631578947368,0.8596491228070176,46.0,105.0,20.0,0.0175438596491228,Nonessential,Nonessential
1,thrB,17.0,932,44.0,34.8,63.64705882352941,0.1050628240731749,0.0588235294117647,0.7647058823529411,28.0,58.0,6.0,0.0588235294117647,Nonessential,Nonessential
2,thrC,20.0,1286,7.5,39.63636363636363,27.95,0.0334370139968895,0.35,0.55,8.0,32.5,0.0,0.1,Nonessential,Nonessential
3,yaaX,9.0,296,148.0,44.0,34.77777777777778,0.1807576807576807,0.1111111111111111,0.6666666666666666,41.0,47.0,2.0,0.1111111111111111,Nonessential,Nonessential
4,yaaA,16.0,776,80.6,85.9090909090909,90.8125,0.1800406423473433,0.0625,0.9375,55.0,76.5,18.5,0.0625,Nonessential,Nonessential
5,yaaJ,36.0,1430,39.16666666666666,88.1875,82.55555555555556,0.0888171657402426,0.1111111111111111,0.8333333333333334,44.0,84.25,9.0,0.0277777777777777,Nonessential,Nonessential
6,talB,26.0,953,76.33333333333333,90.58333333333331,58.34615384615385,0.0941902556237853,0.1153846153846153,0.7692307692307693,45.5,88.75,11.25,0.0384615384615384,Nonessential,Nonessential
7,mog,12.0,587,63.2,66.125,47.583333333333336,0.1247106102302013,0.0833333333333333,0.9166666666666666,53.0,69.0,19.75,0.0833333333333333,Nonessential,Nonessential
8,satP,14.0,566,81.33333333333333,33.333333333333336,103.42857142857144,0.2811322952665709,0.0714285714285714,0.8571428571428571,54.0,168.25,22.75,0.0714285714285714,Nonessential,Nonessential
9,yaaW,16.0,713,104.0,56.6,78.8125,0.1700561009817671,0.0,0.875,48.0,84.5,15.75,0.0,Nonessential,Nonessential
10,yaaI,10.0,404,12.333333333333334,25.8,72.5,0.276085300837776,0.1,0.9,38.0,72.75,17.0,0.1,Nonessential,Nonessential
11,dnaK,47.0,1916,1.0909090909090908,5.363636363636363,1.872340425531915,0.0015034048703484,0.7872340425531915,0.1063829787234042,0.0,0.0,0.0,0.2765957446808511,Unclear,Nonessential
12,dnaJ,20.0,1130,33.714285714285715,5.2,46.55,0.0633764465622872,0.05,0.9,27.0,76.25,14.75,0.05,Nonessential,Nonessential
13,hokC,3.0,152,227.0,18.0,67.66666666666667,0.6848852901484481,0.3333333333333333,0.6666666666666666,72.0,101.5,36.0,0.3333333333333333,Nonessential,Nonessential
14,nhaA,34.0,1166,7.142857142857143,21.0625,13.441176470588236,0.0177347624628423,0.3823529411764705,0.4411764705882353,3.0,17.0,0.0,0.1176470588235294,Nonessential,Nonessential
15,nhaR,25.0,899,68.75,19.83333333333333,49.16,0.0841276632155386,0.04,0.8,30.0,65.0,14.0,0.04,Nonessential,Nonessential
16,FJKNNBLA_00019,53.0,959,1.8333333333333333,18.444444444444443,0.9056603773584906,0.0014528922392852,0.8301886792452831,0.0566037735849056,0.0,0.0,0.0,0.4528301886792453,NA,NA
17,rpsT,8.0,263,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Nonessential
18,ribF,24.0,941,0.0,6.583333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Essential
19,ileS,52.0,2816,0.0,0.0,0.0192307692307692,1.0506320602474448e-05,0.9807692307692308,0.0,0.0,0.0,0.0,0.9615384615384616,Essential,Nonessential
20,lspA,18.0,494,0.0,18.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Essential
21,fkpB,7.0,449,32.0,3.5,18.857142857142858,0.0646124476859443,0.0,0.5714285714285714,15.0,32.0,1.5,0.0,Nonessential,Nonessential
22,ispH,23.0,950,0.0,1.6,0.1739130434782608,0.00028164055624,0.9565217391304348,0.0,0.0,0.0,0.0,0.9130434782608696,Essential,Essential
23,rihC,25.0,914,76.66666666666667,61.71428571428572,51.6,0.0868540649722268,0.2,0.72,22.0,52.0,4.0,0.04,Nonessential,Nonessential
24,dapB,19.0,821,0.0,0.0,0.1052631578947368,0.0001972513030914,0.9473684210526316,0.0,0.0,0.0,0.0,0.5789473684210527,Essential,Essential
25,carA,25.0,1148,24.0,96.41666666666669,59.76,0.0800857678906459,0.24,0.64,37.0,61.0,1.0,0.08,Nonessential,Nonessential
26,carB,68.0,3221,77.91666666666667,79.0,67.13235294117646,0.0320647447955372,0.2794117647058823,0.6617647058823529,31.0,104.25,0.0,0.0441176470588235,Nonessential,Nonessential
27,caiF,16.0,395,11.666666666666666,68.4,28.375,0.1105160662122687,0.125,0.8125,28.0,36.5,7.0,0.0625,Nonessential,Nonessential
28,caiE,11.0,590,111.33333333333331,50.0,69.18181818181819,0.1803958753111295,0.0909090909090909,0.9090909090909092,42.0,83.0,18.5,0.0909090909090909,Nonessential,Nonessential
29,caiD,14.0,785,31.666666666666668,26.714285714285715,14.785714285714286,0.0289773920347168,0.4285714285714285,0.5714285714285714,12.0,23.25,0.0,0.1428571428571428,Nonessential,Nonessential
30,caiC,39.0,1553,64.1,8.642857142857142,64.66666666666667,0.0640612874997936,0.1538461538461538,0.717948717948718,34.0,65.0,2.5,0.0256410256410256,Nonessential,Nonessential
31,caiA,32.0,1142,19.0,80.16666666666667,52.9375,0.0713155058601643,0.15625,0.75,27.5,77.0,5.75,0.0625,Nonessential,Nonessential
32,caiT,42.0,1514,0.9,62.21428571428572,117.45238095238096,0.1193500466948287,0.0714285714285714,0.8571428571428571,107.0,168.75,26.5,0.0238095238095238,Nonessential,Nonessential
33,fixA,15.0,770,13.714285714285714,36.75,50.6,0.101098901098901,0.1333333333333333,0.7333333333333333,22.0,85.5,4.0,0.1333333333333333,Nonessential,Nonessential
34,fixB,16.0,941,6.75,79.88888888888889,43.9375,0.07183438240824,0.125,0.6875,25.0,73.5,2.0,0.0625,Nonessential,Nonessential
35,fixC,24.0,1286,125.33333333333331,114.27272727272728,94.04166666666669,0.1125034892531004,0.125,0.75,61.5,112.5,16.0,0.0833333333333333,Nonessential,Nonessential
36,fixX,4.0,287,0.0,0.0,52.25,0.2800857678906459,0.0,1.0,34.5,62.0,24.75,0.0,Nonessential,Nonessential
37,yaaU,26.0,1331,144.25,46.10526315789474,44.84615384615385,0.0518362756124993,0.2307692307692307,0.6538461538461539,14.5,69.75,1.0,0.0384615384615384,Nonessential,Nonessential
38,kefF,8.0,530,49.4,120.4,64.75,0.1879535558780841,0.125,0.875,25.0,64.75,13.25,0.125,Nonessential,Nonessential
39,kefC,30.0,1862,74.33333333333333,51.0,54.7,0.0451954060976617,0.2,0.7666666666666667,36.5,58.5,13.5,0.1,Nonessential,Nonessential
40,folA,20.0,590,12.5,3.8,27.7,0.0722294654498044,0.8,0.2,0.0,0.0,0.0,0.8,Essential,Essential
41,apaH,21.0,842,60.71428571428572,93.72727272727272,69.9047619047619,0.1277265885341894,0.1428571428571428,0.7142857142857143,43.0,106.0,4.0,0.0476190476190476,Nonessential,Nonessential
42,apaG,11.0,377,159.0,22.5,80.81818181818181,0.3298028231715234,0.0909090909090909,0.8181818181818182,46.0,102.0,19.5,0.0909090909090909,Nonessential,Nonessential
43,rsmA,18.0,821,25.666666666666668,54.375,75.0,0.1405415534526375,0.1666666666666666,0.7777777777777778,69.5,103.75,14.75,0.0555555555555555,Nonessential,Nonessential
44,pdxA,21.0,989,83.5,50.583333333333336,82.9047619047619,0.1289643959006951,0.1428571428571428,0.8095238095238095,36.0,91.0,13.0,0.0952380952380952,Nonessential,Nonessential
45,surA,20.0,1286,0.3333333333333333,2.6,0.4,0.0004785261394903,0.9,0.05,0.0,0.0,0.0,0.65,Nonessential,Nonessential
46,lptD,79.0,2354,0.0,5.85,0.1392405063291139,9.1000919109283e-05,0.9746835443037974,0.0126582278481012,0.0,0.0,0.0,0.5316455696202531,Essential,Essential
47,djlA,15.0,815,73.6,93.75,103.86666666666666,0.1960673273556708,0.0666666666666666,0.8666666666666667,70.0,143.5,36.0,0.0666666666666666,Nonessential,Nonessential
48,rluA,15.0,659,48.0,113.25,55.73333333333333,0.1301116688066612,0.3333333333333333,0.6,23.0,89.0,0.0,0.1333333333333333,Nonessential,Nonessential
49,rapA,58.0,2906,81.35714285714286,81.95454545454545,74.89655172413794,0.0396508823781766,0.1034482758620689,0.8448275862068966,39.0,89.75,12.0,0.0172413793103448,Nonessential,Nonessential
50,polB,56.0,2351,26.5,163.16666666666666,75.875,0.0496515394431174,0.2142857142857142,0.7142857142857143,47.5,116.0,2.0,0.0357142857142857,Nonessential,Nonessential
51,araD,12.0,695,182.75,160.5,70.0,0.1549529607083563,0.25,0.75,34.0,92.75,7.5,0.0833333333333333,Nonessential,Nonessential
52,araA,28.0,1502,66.2,49.81818181818182,90.5,0.0926969169312711,0.1071428571428571,0.7857142857142857,86.0,131.0,7.5,0.0357142857142857,NA,Nonessential
54,araC,22.0,878,26.0,91.44444444444444,52.0,0.0911161731207289,0.1818181818181818,0.7272727272727273,28.5,78.75,3.5,0.0454545454545454,Nonessential,Nonessential
55,yabI,13.0,764,60.5,70.3,27.846153846153847,0.0560736082282598,0.3846153846153846,0.6153846153846154,14.0,38.0,0.0,0.2307692307692307,Nonessential,Nonessential
56,thiQ,11.0,698,129.66666666666666,17.2,43.81818181818182,0.096579638126916,0.3636363636363636,0.6363636363636364,53.0,71.5,0.0,0.1818181818181818,Nonessential,Nonessential
57,thiP,31.0,1610,133.0,83.25,91.83870967741936,0.0877579643358044,0.1612903225806451,0.7741935483870968,52.0,110.5,19.5,0.064516129032258,Nonessential,Nonessential
58,thiB,25.0,983,116.6,53.333333333333336,52.44,0.082072149620471,0.2,0.64,27.0,88.0,1.0,0.04,Nonessential,Nonessential
59,sgrR,38.0,1655,62.75,38.4,82.36842105263158,0.0765683672346098,0.1052631578947368,0.8157894736842105,57.0,117.75,22.25,0.0526315789473684,Nonessential,Nonessential
60,sgrT,4.0,131,20.0,0.0,42.75,0.5020551967116853,0.5,0.5,41.0,83.75,0.0,0.5,Nonessential,NA
61,setA,43.0,1178,78.25,49.04347826086956,73.34883720930233,0.0957931790639967,0.0465116279069767,0.9069767441860463,59.0,104.0,30.5,0.0232558139534883,Nonessential,Nonessential
62,leuD,10.0,605,1.0,65.66666666666667,45.4,0.1154481881754609,0.3,0.6,31.0,72.75,0.25,0.3,Nonessential,Nonessential
63,leuC,30.0,1400,140.14285714285714,31.666666666666668,65.36666666666666,0.0718315018315018,0.2,0.7333333333333333,41.0,59.5,6.75,0.0666666666666666,Nonessential,Nonessential
64,leuB,22.0,1091,63.75,75.9090909090909,85.63636363636364,0.120759167505272,0.1363636363636363,0.6818181818181818,27.0,83.5,5.0,0.0454545454545454,Nonessential,Nonessential
65,leuA,42.0,1571,50.25,58.5625,62.92857142857143,0.0616251984807045,0.0714285714285714,0.8571428571428571,27.0,106.25,10.0,0.0238095238095238,Nonessential,Nonessential
66,leuO,32.0,944,69.6,40.61538461538461,45.65625,0.0744071870925684,0.15625,0.75,25.0,55.0,5.75,0.0625,Nonessential,Nonessential
67,ilvI,41.0,1724,82.9090909090909,58.75,102.29268292682929,0.0912838505504455,0.0975609756097561,0.8780487804878049,58.0,167.0,18.0,0.024390243902439,Nonessential,Nonessential
68,ilvH,12.0,491,29.25,47.6,59.41666666666666,0.1861716016502167,0.0833333333333333,0.9166666666666666,42.5,87.75,26.25,0.0833333333333333,Nonessential,Nonessential
70,mraZ,9.0,458,31.5,27.0,49.77777777777778,0.1672078527973724,0.1111111111111111,0.7777777777777778,34.0,39.0,20.0,0.1111111111111111,Nonessential,Nonessential
71,rsmH,17.0,941,0.2857142857142857,28.142857142857142,16.823529411764707,0.0275051572169781,0.2941176470588235,0.5294117647058824,8.0,24.0,0.0,0.1176470588235294,Nonessential,Nonessential
72,ftsL,6.0,365,0.0,18.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Essential
73,ftsI,58.0,1766,0.0,3.0434782608695654,0.293103448275862,0.0002553388346335,0.9827586206896552,0.0172413793103448,0.0,0.0,0.0,0.8275862068965517,Essential,Essential
74,murE,35.0,1487,3.25,0.0,0.1428571428571428,0.000147801089294,0.9714285714285714,0.0,0.0,0.0,0.0,0.5714285714285714,Essential,Essential
75,murF,26.0,1358,0.0,14.238095238095235,0.5,0.0005664438654129,0.9615384615384616,0.0384615384615384,0.0,0.0,0.0,0.5,Essential,Essential
76,mraY,33.0,1082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Essential
77,murD,32.0,1316,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Essential
78,ftsW,39.0,1244,0.25,2.7333333333333334,0.1794871794871795,0.0002219727671125,0.9487179487179488,0.0,0.0,0.0,0.0,0.5641025641025641,Essential,Essential
79,murG,29.0,1067,2.333333333333333,7.444444444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Essential
80,murC,32.0,1475,0.0,6.642857142857143,0.0625,6.51890482398957e-05,0.96875,0.0,0.0,0.0,0.0,0.5625,Essential,Essential
81,ddlB,30.0,920,27.5,63.63636363636363,46.16666666666666,0.0772017837235228,0.1666666666666666,0.6333333333333333,9.0,60.0,1.25,0.1,Nonessential,Nonessential
82,ftsQ,17.0,830,0.0,21.666666666666668,2.0,0.0037071362372567,0.8235294117647058,0.1176470588235294,0.0,0.0,0.0,0.3529411764705882,Essential,Essential
83,ftsA,33.0,1262,0.0,1.9375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Essential
84,ftsZ,26.0,1151,0.0,0.75,0.4230769230769231,0.0005654974578318,0.9615384615384616,0.0384615384615384,0.0,0.0,0.0,0.8076923076923077,Essential,Essential
85,lpxC,24.0,917,0.0,12.11111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Essential
86,secM,13.0,587,21.0,21.6,2.230769230769231,0.0058465973811275,0.6923076923076923,0.1538461538461538,0.0,1.0,0.0,0.3846153846153846,Unclear,Essential
87,secA,72.0,2705,0.0,6.863636363636363,0.0555555555555555,3.1597074110937326e-05,0.9861111111111112,0.0,0.0,0.0,0.0,0.5555555555555556,Essential,Essential
88,mutT,10.0,389,71.33333333333333,68.0,95.9,0.3792762507415463,0.2,0.8,27.5,50.5,12.25,0.2,Nonessential,Nonessential
90,zapD,18.0,743,84.5,79.16666666666667,44.27777777777778,0.0916819086401859,0.1666666666666666,0.7777777777777778,18.0,46.0,8.5,0.0555555555555555,Nonessential,Nonessential
91,coaE,14.0,620,29.666666666666668,0.25,2.071428571428572,0.0051400212690535,0.7857142857142857,0.1428571428571428,0.0,0.0,0.0,0.4285714285714285,Essential,Nonessential
92,guaC,22.0,1043,31.4,106.9090909090909,45.90909090909091,0.0677175173819469,0.1818181818181818,0.6363636363636364,25.5,60.5,3.0,0.0454545454545454,Nonessential,Nonessential
93,hofC,31.0,1202,108.14285714285714,65.5,71.83870967741936,0.0919476637366176,0.1612903225806451,0.7419354838709677,30.0,85.0,6.0,0.032258064516129,Nonessential,Nonessential
94,hofB,41.0,1385,37.8,105.82352941176472,86.73170731707317,0.0963418020739496,0.1707317073170731,0.8048780487804879,52.0,122.0,17.0,0.048780487804878,Nonessential,Nonessential
95,ppdD,14.0,440,99.5,40.5,73.71428571428571,0.2577422577422577,0.2142857142857142,0.7142857142857143,24.5,60.75,6.25,0.0714285714285714,Nonessential,Nonessential
96,nadC,19.0,893,73.0,101.71428571428572,55.21052631578947,0.0951167651232482,0.2105263157894736,0.6842105263157895,36.0,86.5,4.0,0.1578947368421052,Nonessential,Nonessential
97,ampD,14.0,551,116.5,21.0,83.64285714285714,0.2335414132147344,0.1428571428571428,0.7857142857142857,82.5,133.25,32.5,0.0714285714285714,Nonessential,Nonessential
98,ampE,23.0,854,76.2,29.25,126.91304347826087,0.228630955644498,0.0434782608695652,0.9565217391304348,45.0,205.0,16.0,0.0434782608695652,Nonessential,Nonessential
99,aroP,47.0,1370,32.333333333333336,62.54545454545455,63.40425531914894,0.0712007359002234,0.2127659574468085,0.7021276595744681,39.0,104.0,2.0,0.0425531914893617,Nonessential,Nonessential
100,pdhR,13.0,764,5.0,19.166666666666668,60.46153846153846,0.121750983611636,0.0769230769230769,0.9230769230769232,21.0,75.0,9.0,0.0769230769230769,Nonessential,Nonessential
101,aceE,65.0,2663,0.8888888888888888,3.7777777777777777,2.4615384615384617,0.0014220736945252,0.7230769230769231,0.1538461538461538,0.0,1.0,0.0,0.1538461538461538,Unclear,Nonessential
102,aceF,28.0,1892,1.1428571428571428,3.357142857142857,1.25,0.00101642543503,0.75,0.0714285714285714,0.0,0.25,0.0,0.2142857142857142,Essential,Nonessential
103,lpdA,34.0,1424,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Essential,Nonessential
104,yacH,49.0,1853,111.44444444444444,34.166666666666664,74.71428571428571,0.0620318699109848,0.1020408163265306,0.8571428571428571,57.0,98.0,20.0,0.0204081632653061,Nonessential,Nonessential
105,acnB,44.0,2597,1.9,4.423076923076923,1.1363636363636365,0.0006731812661731,0.8409090909090909,0.0909090909090909,0.0,0.0,0.0,0.2727272727272727,Unclear,Nonessential
106,yacL,4.0,362,21.5,76.8,181.5,0.7713557161070973,0.0,1.0,130.5,281.5,30.5,0.0,Nonessential,Nonessential
